,Model,Transform,MAE,MSE,MAPE,sMAPE,MASE
0,AR,None,1.358007789064673,3.4095466989705603,35.38375159536418,29.814115845012093,1.1214699142207059
1,AR,Normalize,1.3680303098187765,3.3180408566106383,33.777342300681454,30.8926552375482,1.1431462565895583
2,AR,Standardize,1.360842135858831,3.3179231696751206,34.07053567200185,30.572567555747632,1.1314266882355657
3,AR,MeanNormalize,1.3603398876601198,3.314491134689968,34.068276548494005,30.530471048207282,1.13145602442973
4,AR,Box-Cox,1.3580077890651174,3.4095466989741245,35.383751595394706,29.814115845011198,1.121469914221113
5,EMA(0.2),None,1.4929014564467347,3.9470400154966927,36.169438523502116,32.796071627423736,1.254508032454259
6,EMA(0.2),Normalize,1.4929014565180108,3.947040015484554,36.16943851816058,32.79607163513008,1.2545080325372866
7,EMA(0.2),Standardize,1.4929014563206173,3.94704001551817,36.16943853295357,32.79607161378793,1.2545080323073476
8,EMA(0.2),MeanNormalize,1.4929014563206169,3.94704001551817,36.16943853295357,32.79607161378793,1.2545080323073476
9,EMA(0.2),Box-Cox,1.4929014565232113,3.9470400154836685,36.16943851777086,32.79607163569234,1.2545080325433444
10,EMA(0.5),None,1.4924527701878363,3.9715149652168846,35.707478188223874,32.99877313961509,1.250634991744866
11,EMA(0.5),Normalize,1.4924527701878363,3.9715149652168846,35.707478188223874,32.99877313961509,1.250634991744866
12,EMA(0.5),Standardize,1.4924527701878363,3.9715149652168846,35.707478188223874,32.99877313961509,1.250634991744866
13,EMA(0.5),MeanNormalize,1.4924527701878363,3.9715149652168846,35.707478188223874,32.99877313961509,1.250634991744866
14,EMA(0.5),Box-Cox,1.4924527701878363,3.9715149652168846,35.707478188223874,32.99877313961509,1.250634991744866
15,EMA(0.8),None,1.4944048064354967,4.005677582578366,35.67737468911315,33.20245878411806,1.2497401615926529
16,EMA(0.8),Normalize,1.4944048064354964,4.005677582578366,35.67737468911315,33.20245878411805,1.2497401615926529
17,EMA(0.8),Standardize,1.4944048064354964,4.005677582578366,35.67737468911315,33.20245878411806,1.2497401615926529
18,EMA(0.8),MeanNormalize,1.4944048064354967,4.005677582578366,35.67737468911315,33.20245878411806,1.2497401615926529
19,EMA(0.8),Box-Cox,1.4944048064354964,4.005677582578366,35.67737468911315,33.20245878411805,1.2497401615926529
